date,action,price,shares,abs_score,ref_score,final_score,pnl,pnl_pct
2020-10-13 00:00:00-04:00,BUY,18.419662475585938,11791,78.0,47.5,65.8,,
2020-10-16 00:00:00-04:00,SELL_STOP,17.323657989501953,11791,78.0,55.0,68.8,-12922.98889541626,-0.05950187673290251
2020-10-19 00:00:00-04:00,BUY,16.462841033935547,12447,74.0,55.0,66.4,,
2020-10-28 00:00:00-04:00,SELL_STOP,14.34126091003418,12447,50.0,55.0,52.0,-26407.307802200317,-0.12887083824280784
2020-11-05 00:00:00-05:00,BUY,18.014925003051758,9982,74.0,55.0,66.4,,
2020-11-09 00:00:00-05:00,SELL_STOP,16.97264289855957,9982,70.0,50.0,62.0,-10404.059967041016,-0.05785658859615698
2020-11-10 00:00:00-05:00,BUY,16.056915283203125,10583,70.0,50.0,62.0,,
2020-11-16 00:00:00-05:00,SELL_PROFIT,17.727190017700195,10583,74.0,50.0,64.4,17676.517515182495,0.10402214279876766
2020-11-17 00:00:00-05:00,BUY,17.563631057739258,10632,74.0,55.0,66.4,,
2020-12-01 00:00:00-05:00,SELL_PROFIT,19.607601165771484,10632,78.0,52.5,67.8,21731.490188598633,0.11637514482699005
2020-12-02 00:00:00-05:00,BUY,19.6864013671875,10534,78.0,52.5,67.8,,
2020-12-31 00:00:00-05:00,SELL_PROFIT,21.705307006835938,10534,74.0,52.5,65.4,21267.15200805664,0.10255331088664423
2021-01-04 00:00:00-05:00,BUY,20.756153106689453,10964,74.0,55.0,66.4,,
2021-01-20 00:00:00-05:00,SELL_PROFIT,23.634666442871094,10964,74.0,60.0,68.4,31560.020217895508,0.1386824100489956
2021-01-21 00:00:00-05:00,BUY,24.22207260131836,10633,78.0,60.0,70.8,,
2021-01-27 00:00:00-05:00,SELL_STOP,22.70341682434082,10633,74.0,55.0,66.4,-16147.866876602173,-0.0626971854132285
2021-01-28 00:00:00-05:00,BUY,23.03771209716797,10514,74.0,55.0,66.4,,
2021-01-29 00:00:00-05:00,SELL_STOP,21.602628707885742,10514,66.0,55.0,61.6,-15088.46675491333,-0.062292791195122266
2021-02-01 00:00:00-05:00,BUY,23.190532684326172,9826,74.0,60.0,68.4,,
2021-02-08 00:00:00-05:00,SELL_PROFIT,25.635662078857422,9826,78.0,60.0,70.8,24025.841430664062,0.10543653428814269
2021-02-09 00:00:00-05:00,BUY,25.623722076416016,9784,78.0,60.0,70.8,,
2021-02-22 00:00:00-05:00,SELL_STOP,23.090242385864258,9784,62.0,55.0,59.199999999999996,-24787.5652923584,-0.09887243090587389
2021-02-24 00:00:00-05:00,BUY,23.43647575378418,9692,66.0,55.0,61.6,,
2021-02-25 00:00:00-05:00,SELL_STOP,20.98895835876465,9692,50.0,62.5,55.0,-23721.338592529297,-0.10443197265375286
2021-04-01 00:00:00-04:00,BUY,22.89922332763672,8936,78.0,55.0,68.8,,
2021-04-09 00:00:00-04:00,SELL_PROFIT,25.61417007446289,8936,78.0,47.5,65.8,24260.764129638672,0.11856064758098343
2021-04-12 00:00:00-04:00,BUY,25.513885498046875,8923,78.0,47.5,65.8,,
2021-05-04 00:00:00-04:00,SELL_STOP,23.954635620117188,8923,62.0,55.0,59.199999999999996,-13913.186660766602,-0.06111377579275608
2021-05-27 00:00:00-04:00,BUY,24.260272979736328,8840,70.0,55.0,64.0,,
2021-06-14 00:00:00-04:00,SELL_PROFIT,26.81047248840332,8840,78.0,47.5,65.8,22543.76365661621,0.10511833526346037
2021-06-15 00:00:00-04:00,BUY,26.313804626464844,8964,78.0,55.0,68.8,,
2021-06-28 00:00:00-04:00,SELL_PROFIT,29.052635192871094,8964,78.0,47.5,65.8,24550.877197265625,0.10408341193092613
2021-06-29 00:00:00-04:00,BUY,29.37976837158203,8822,78.0,47.5,65.8,,
2021-07-23 00:00:00-04:00,SELL_PROFIT,32.60810089111328,8822,78.0,60.0,70.8,28480.349487304688,0.10988284450376734
2021-07-26 00:00:00-04:00,BUY,32.74420928955078,8742,74.0,60.0,68.4,,
2021-08-18 00:00:00-04:00,SELL_STOP,31.013038635253906,8742,62.0,55.0,59.199999999999996,-15133.893859863281,-0.0528695208056015
2021-08-20 00:00:00-04:00,BUY,32.4266357421875,8384,70.0,55.0,64.0,,
2021-08-30 00:00:00-04:00,SELL_PROFIT,35.79584884643555,8384,74.0,52.5,65.4,28247.482666015625,0.1039026413666668
2021-08-31 00:00:00-04:00,BUY,35.69556427001953,8368,74.0,47.5,63.4,,
2021-09-20 00:00:00-04:00,SELL_STOP,31.875043869018555,8368,50.0,62.5,55.0,-31970.114715576172,-0.1070306767558177
2021-09-23 00:00:00-04:00,BUY,33.76142501831055,7948,66.0,55.0,61.6,,
2021-09-28 00:00:00-04:00,SELL_STOP,30.284751892089844,7948,42.0,62.5,50.2,-27632.59800720215,-0.10297767716662214
2021-10-18 00:00:00-04:00,BUY,33.37697982788086,7253,66.0,55.0,61.6,,
2021-10-29 00:00:00-04:00,SELL_PROFIT,37.04945755004883,7253,78.0,47.5,65.8,26636.480918884277,0.11003025861256119
2021-11-01 00:00:00-04:00,BUY,37.414791107177734,7146,78.0,47.5,65.8,,
2021-11-18 00:00:00-05:00,SELL_PROFIT,41.59348678588867,7146,78.0,47.5,65.8,29860.95932006836,0.11168566107293561
2021-11-19 00:00:00-05:00,BUY,42.29788589477539,6992,78.0,47.5,65.8,,
2021-11-26 00:00:00-05:00,SELL_STOP,38.40573501586914,6992,66.0,55.0,61.6,-27213.9189453125,-0.0920176220766392
2021-11-29 00:00:00-05:00,BUY,40.79117202758789,6617,74.0,55.0,66.4,,
2021-12-01 00:00:00-05:00,SELL_STOP,37.035133361816406,6617,62.0,55.0,59.199999999999996,-24853.707851409912,-0.09207969467587741
2021-12-07 00:00:00-05:00,BUY,39.98170471191406,6160,74.0,60.0,68.4,,
2021-12-14 00:00:00-05:00,SELL_STOP,37.13063430786133,6160,62.0,55.0,59.199999999999996,-17562.593688964844,-0.07130937574062844
2021-12-15 00:00:00-05:00,BUY,39.587711334228516,5800,70.0,55.0,64.0,,
2021-12-16 00:00:00-05:00,SELL_STOP,36.56711959838867,5800,62.0,50.0,57.199999999999996,-17519.432067871094,-0.07630124687779476
2021-12-23 00:00:00-05:00,BUY,39.51367950439453,5389,74.0,55.0,66.4,,
2022-01-05 00:00:00-05:00,SELL_STOP,35.662132263183594,5389,50.0,55.0,52.0,-20755.988082885742,-0.09747376831313788
