date,action,symbol,price,shares,commission,slippage,absolute_score,reference_score,adx,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2021-08-05 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,33.00687026977539,4351,143.61289254379273,143.61289254379273,39.5,55.0,17.552789835093737,17.280000686645508,9340.067218780518,9052.841433692933,0.024158346085137963,0.06956036857176832,7.0,多單重估賣出
2021-10-26 00:00:00-04:00,BUY_LONG,TQQQ,35.07233810424805,4073,142.8496330986023,142.8496330986023,65.0,70.0,24.783304846468702,15.979999542236328,,,,,,
2021-11-04 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,40.57625961303711,4073,165.26710540390016,165.26710540390016,59.0,70.0,31.35669778464314,15.4399995803833,22417.47230529785,22086.93809449005,0.050379602789864295,0.15693055571115214,7.0,多單止盈: 15.7%
2021-11-05 00:00:00-04:00,BUY_LONG,TQQQ,40.726707458496094,4023,163.8435441055298,163.8435441055298,65.0,70.0,33.38368225504431,16.479999542236328,,,,,,
2021-12-14 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,37.130638122558594,4023,149.37655716705322,149.37655716705322,27.5,75.0,19.237387113280295,21.889999389648438,-14466.986938476562,-14765.740052810668,-0.026091562441922258,-0.08829757081645243,6.0,多單回落: -3.9%
2022-02-23 00:00:00-05:00,BUY_SHORT,SQQQ,967.9074096679688,154,149.0577410888672,149.0577410888672,13.0,30.0,32.93773466116059,31.020000457763672,,,,,,
2022-02-24 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,873.3545532226562,154,134.49660119628908,134.49660119628908,18.0,70.0,34.586028520925304,30.31999969482422,14561.139892578125,14292.146690185547,0.03360449798866713,0.09768791467124727,1.0,空單止損: +3.4%
2022-03-07 00:00:00-05:00,BUY_SHORT,SQQQ,988.0677490234375,165,163.0311785888672,163.0311785888672,15.0,35.0,38.16132561028809,36.45000076293945,,,,,,
2022-03-09 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,894.3213500976562,165,147.56302276611328,147.56302276611328,19.0,55.0,39.98483965192967,32.45000076293945,15468.155822753906,15173.02977722168,0.031182567927157494,0.09487851315705431,2.0,空單止損: +3.1%
2022-03-29 00:00:00-04:00,BUY_LONG,TQQQ,29.881210327148438,5951,177.82308265686035,177.82308265686035,61.0,70.0,27.019537318928847,18.899999618530273,,,,,,
2022-04-06 00:00:00-04:00,SELL_LONG_STOP,TQQQ,25.64521598815918,5951,152.61468034553528,152.61468034553528,52.0,90.0,22.244819183769586,22.100000381469727,-25208.402311325073,-25513.631672016145,-0.04830397269351307,-0.14176113660097175,6.0,多單止損: -4.8%
2022-05-09 00:00:00-04:00,BUY_SHORT,SQQQ,1121.1273193359375,136,152.47331542968752,152.47331542968752,24.0,30.0,26.64644731813148,34.75,,,,,,
2022-05-10 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1081.6126708984375,136,147.0993232421875,147.0993232421875,20.0,70.0,27.246114363849944,32.9900016784668,5373.9921875,5079.793541015625,0.01214858468035276,0.0352454603112385,1.0,空單反彈: +1.2%
2022-08-01 00:00:00-04:00,BUY_LONG,TQQQ,15.90767765045166,9958,158.40865404319763,158.40865404319763,62.0,70.0,18.440651841883156,22.84000015258789,,,,,,
2022-08-15 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,18.57248306274414,9958,184.94478633880615,184.94478633880615,44.0,70.0,29.869621705715055,19.950000762939453,26536.13229560852,26166.242722930907,0.05642762873686672,0.16751693558593198,3.0,多單止盈: 16.8%
2022-08-30 00:00:00-04:00,BUY_SHORT,SQQQ,897.7484741210938,204,183.14068872070314,183.14068872070314,27.5,35.0,23.10550789209566,26.209999084472656,,,,,,
2022-09-02 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,952.1819458007812,204,194.2451169433594,194.2451169433594,26.5,65.0,23.912629021776073,25.469999313354492,-11104.42822265625,-11492.91845654297,-0.019433825382812863,-0.06063332130191422,3.0,空單重估賣出
2022-09-23 00:00:00-04:00,BUY_SHORT,SQQQ,1134.2318115234375,151,171.26900354003908,171.26900354003908,26.5,35.0,25.04768711674595,29.920000076293945,,,,,,
2022-09-28 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1082.2176513671875,151,163.41486535644532,163.41486535644532,16.5,70.0,28.002981624432525,30.18000030517578,7854.13818359375,7527.3084528808595,0.016079201421505936,0.04585849173670015,3.0,空單反彈: +2.0%
2022-11-30 00:00:00-05:00,BUY_LONG,TQQQ,11.251420021057129,15954,179.50515501594543,179.50515501594543,62.0,85.0,20.75796494756604,20.579999923706055,,,,,,
2022-12-06 00:00:00-05:00,SELL_LONG_STOP,TQQQ,9.942893981933594,15954,158.62893058776856,158.62893058776856,57.0,60.0,19.56806813863022,22.170000076293945,-20876.22442817688,-21193.482289352418,-0.039814497123559604,-0.11629874599602694,4.0,多單止損: -4.0%
2022-12-19 00:00:00-05:00,BUY_SHORT,SQQQ,1054.59765625,151,159.24424609375,159.24424609375,25.0,35.0,14.329962006157267,22.420000076293945,,,,,,
2022-12-22 00:00:00-05:00,SELL_SHORT_REEVAL,SQQQ,1086.8916015625,151,164.1206318359375,164.1206318359375,24.0,50.0,13.900723218521785,21.969999313354492,-4876.3857421875,-5204.627005859375,-0.01108400373353002,-0.03062205298969912,3.0,空單重估賣出
2023-01-26 00:00:00-05:00,BUY_LONG,TQQQ,10.887377738952637,14184,154.4265658493042,154.4265658493042,72.0,70.0,21.22005018821401,18.729999542236328,,,,,,
2023-02-02 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,12.917960166931152,14184,183.22834700775147,183.22834700775147,72.0,65.0,26.683398253503036,18.729999542236328,28801.781158447266,28435.324464431764,0.06265775387119331,0.18650794311228308,5.0,多單止盈: 18.7%
2023-02-03 00:00:00-05:00,BUY_LONG,TQQQ,12.250699996948242,14810,181.43286695480347,181.43286695480347,72.0,90.0,28.116749924332606,18.329999923706055,,,,,,
2023-02-10 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,11.434625625610352,14810,169.3468055152893,169.3468055152893,58.0,75.0,31.381520465940905,20.530000686645508,-12086.06143951416,-12424.755050544738,-0.02116398299793951,-0.06661450950077807,5.0,多單回落: -3.3%
2023-02-14 00:00:00-05:00,BUY_LONG,TQQQ,12.236299514770508,13863,169.63182017326355,169.63182017326355,61.0,75.0,31.85720774983007,18.90999984741211,,,,,,
2023-02-21 00:00:00-05:00,SELL_LONG_STOP,TQQQ,10.728961944580078,13863,148.73559943771363,148.73559943771363,42.0,60.0,30.157350081653497,22.8700008392334,-20896.220735549927,-21193.691934425355,-0.0414672515759095,-0.123185736698494,4.0,多單止損: -4.1%
