date,action,symbol,price,shares,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2021-07-23 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,32.60810089111328,19344,630.7711036376953,630.7711036376953,78.0,57.0,69.6,17.200000762939453,87992.01470947266,86730.47250219727,0.05362554064401703,0.16211386271940326,5.0,多單止盈: 16.2%
2021-07-26 00:00:00-04:00,BUY_LONG,TQQQ,32.744205474853516,19093,625.1851151313782,625.1851151313782,74.0,57.0,67.2,17.579999923706055,,,,,,
2021-09-20 00:00:00-04:00,SELL_LONG_VIX,TQQQ,31.875043869018555,19093,608.5902125911713,608.5902125911713,50.0,63.0,55.2,25.709999084472656,-16594.90254020691,-17812.08296538925,-0.006470934921891369,-0.0265439821559405,3.0,VIX>25 (25.7)，多單止損平倉
2021-09-23 00:00:00-04:00,BUY_LONG,TQQQ,33.76142501831055,18016,608.2458331298828,608.2458331298828,66.0,57.0,62.400000000000006,18.6299991607666,,,,,,
2021-09-28 00:00:00-04:00,SELL_LONG_STOP,TQQQ,30.28474998474121,18016,545.6100557250977,545.6100557250977,42.0,63.0,50.400000000000006,23.25,-62635.777404785156,-63726.99751623535,-0.03514901705016879,-0.1029777336615311,3.0,多單止損: -3.5%
2021-10-18 00:00:00-04:00,BUY_LONG,TQQQ,33.37697982788086,16410,547.7162389755249,547.7162389755249,66.0,57.0,62.400000000000006,16.309999465942383,,,,,,
2021-11-03 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,39.117313385009766,16410,641.9151126480102,641.9151126480102,78.0,51.0,67.2,15.100000381469727,94198.87367248535,92915.04344718932,0.05509194929921039,0.17198481069080498,5.0,多單止盈: 17.2%
2021-11-04 00:00:00-04:00,BUY_LONG,TQQQ,40.576271057128906,15674,635.9924725494385,635.9924725494385,78.0,51.0,67.2,15.4399995803833,,,,,,
2021-11-26 00:00:00-05:00,SELL_LONG_VIX,TQQQ,38.405738830566406,15674,601.9715504302978,601.9715504302978,66.0,57.0,62.400000000000006,28.6200008392334,-34020.922119140625,-35224.86522000122,-0.017628282404242624,-0.05349264902894905,0.0,VIX>25 (28.6)，多單止損平倉
2021-11-29 00:00:00-05:00,BUY_LONG,TQQQ,40.791168212890625,14771,602.5263456726075,602.5263456726075,74.0,57.0,67.2,22.959999084472656,,,,,,
2021-11-30 00:00:00-05:00,SELL_LONG_VIX,TQQQ,39.038516998291016,14771,576.6379345817566,576.6379345817566,66.0,57.0,62.400000000000006,27.190000534057617,-25888.41109085083,-27041.686960014344,-0.014686368965542958,-0.042966438358726516,0.0,VIX>25 (27.2)，多單止損平倉
2021-12-07 00:00:00-05:00,BUY_LONG,TQQQ,39.9817008972168,14427,576.8159988441467,576.8159988441467,74.0,57.0,67.2,21.889999389648438,,,,,,
2021-12-16 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,36.56711196899414,14427,527.5537243766785,527.5537243766785,62.0,57.0,60.0,20.56999969482422,-49262.27446746826,-50317.38191622162,-0.027624873672386894,-0.08540379352546135,7.0,多單回落: -3.2%
2021-12-23 00:00:00-05:00,BUY_LONG,TQQQ,39.5136833190918,13388,529.0091922760009,529.0091922760009,74.0,57.0,67.2,17.959999084472656,,,,,,
2022-01-05 00:00:00-05:00,SELL_LONG_STOP,TQQQ,35.66212844848633,13388,477.44457566833495,477.44457566833495,50.0,57.0,52.8,19.729999542236328,-51564.616607666016,-52519.505759002684,-0.03181986988026989,-0.09747395198524851,1.0,多單止損: -3.2%
2022-01-28 00:00:00-05:00,BUY_SHORT,SQQQ,833.0333251953125,575,478.9941619873047,478.9941619873047,26.0,57.0,38.4,27.65999984741211,,,,,,
2022-01-31 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,753.6007690429688,575,433.32044219970703,433.32044219970703,26.0,57.0,38.4,24.829999923706055,45673.719787597656,44807.07890319824,0.03197836072343393,0.0953533955363911,1.0,空單止損: +3.2%
2022-02-03 00:00:00-05:00,BUY_SHORT,SQQQ,805.614990234375,647,521.2328986816407,521.2328986816407,26.0,57.0,38.4,24.350000381469727,,,,,,
2022-02-09 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,718.9247436523438,647,465.14430914306644,465.14430914306644,50.0,57.0,52.8,19.959999084472656,56088.58953857422,55158.300920288086,0.03727907759188858,0.10760753912586797,1.0,空單止損: +3.7%
2022-02-10 00:00:00-05:00,BUY_SHORT,SQQQ,766.7052612304688,748,573.4955354003906,573.4955354003906,26.0,57.0,38.4,23.90999984741211,,,,,,
2022-02-15 00:00:00-05:00,SELL_SHORT_TRAILING,SQQQ,775.172607421875,748,579.8291103515625,579.8291103515625,34.0,57.0,43.2,25.700000762939453,-6333.574951171875,-7493.233171875,-0.006416832441613618,-0.011043808644037721,3.0,空單反彈: +2.6% (VIX=25.7)
2022-02-17 00:00:00-05:00,BUY_SHORT,SQQQ,844.52490234375,671,566.6762094726563,566.6762094726563,26.0,57.0,38.4,28.110000610351562,,,,,,
2022-02-23 00:00:00-05:00,SELL_SHORT_REEVAL,SQQQ,967.9071655273438,671,649.4657080688477,649.4657080688477,26.0,63.0,40.800000000000004,31.020000457763672,-82789.4985961914,-84088.4300123291,-0.04640328694295764,-0.1460966548661617,3.0,空單重估賣出
2022-02-24 00:00:00-05:00,BUY_SHORT,SQQQ,873.3544311523438,557,486.4584181518555,486.4584181518555,26.0,57.0,38.4,30.31999969482422,,,,,,
2022-02-28 00:00:00-05:00,SELL_SHORT_TRAILING,SQQQ,821.138671875,557,457.374240234375,457.374240234375,26.0,57.0,38.4,30.149999618530273,29084.17791748047,28169.42943701172,0.018532267189118195,0.05978759300327576,2.0,空單反彈: +1.9% (VIX=30.1)
2022-03-01 00:00:00-05:00,BUY_SHORT,SQQQ,859.8468627929688,597,513.3285770874023,513.3285770874023,26.0,57.0,38.4,33.31999969482422,,,,,,
2022-03-02 00:00:00-05:00,SELL_SHORT_TRAILING,SQQQ,818.1146850585938,597,488.4144669799805,488.4144669799805,26.0,57.0,38.4,30.739999771118164,24914.110107421875,23937.281173461914,0.016779552285276524,0.048534430420342355,1.0,空單反彈: +1.7% (VIX=30.7)
2022-03-03 00:00:00-05:00,BUY_SHORT,SQQQ,852.1859741210938,629,536.0249777221679,536.0249777221679,26.0,57.0,38.4,30.479999542236328,,,,,,
2022-03-08 00:00:00-05:00,SELL_SHORT_REEVAL,SQQQ,1001.3739013671875,629,629.864183959961,629.864183959961,26.0,63.0,40.800000000000004,35.130001068115234,-93839.20623779297,-95098.93460571289,-0.055250406924184196,-0.1750649878976939,3.0,空單重估賣出
2022-03-09 00:00:00-05:00,BUY_SHORT,SQQQ,894.3213500976562,499,446.2663536987305,446.2663536987305,26.0,57.0,38.4,32.45000076293945,,,,,,
2022-03-15 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,940.2874755859375,499,469.2034503173828,469.2034503173828,26.0,57.0,38.4,29.829999923706055,-22937.096618652344,-23875.50351928711,-0.020418733711106724,-0.05139777271700149,1.0,空單反彈: +3.1% (VIX=29.8)
2022-03-29 00:00:00-04:00,BUY_LONG,TQQQ,29.881210327148438,14175,423.5661563873291,423.5661563873291,78.0,51.0,67.2,18.899999618530273,,,,,,
2022-04-06 00:00:00-04:00,SELL_LONG_STOP,TQQQ,25.64521598815918,14175,363.5209366321564,363.5209366321564,62.0,57.0,60.0,22.100000381469727,-60045.21975517273,-60772.261628437045,-0.04830405701026784,-0.14176113660097175,6.0,多單止損: -4.8%
2022-04-14 00:00:00-04:00,BUY_SHORT,SQQQ,817.3081665039062,447,365.3367504272461,365.3367504272461,26.0,57.0,38.4,22.700000762939453,,,,,,
2022-04-19 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,761.4635009765625,447,340.3741849365234,340.3741849365234,26.0,57.0,38.4,21.3700008392334,24962.565490722656,24281.81712084961,0.023136393944129967,0.06832755111969978,2.0,空單止損: +2.3%
2022-04-20 00:00:00-04:00,BUY_SHORT,SQQQ,795.131591796875,489,388.81934838867187,388.81934838867187,26.0,57.0,38.4,20.31999969482422,,,,,,
2022-04-25 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,874.5640869140625,489,427.66183850097656,427.66183850097656,26.0,63.0,40.800000000000004,27.020000457763672,-38842.49011230469,-39697.81378930664,-0.03408460194547179,-0.09989855256245359,3.0,空單重估賣出
2022-04-28 00:00:00-04:00,BUY_SHORT,SQQQ,873.9592895507812,401,350.4576751098633,350.4576751098633,26.0,57.0,38.4,29.989999771118164,,,,,,
2022-05-02 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,940.2874755859375,401,377.05527770996093,377.05527770996093,26.0,57.0,38.4,32.34000015258789,-26597.602600097656,-27351.713155517577,-0.029054009311496206,-0.0758939081352968,2.0,空單反彈: +1.7% (VIX=32.3)
2022-05-03 00:00:00-04:00,BUY_SHORT,SQQQ,938.06982421875,346,324.5721591796875,324.5721591796875,26.0,57.0,38.4,29.25,,,,,,
2022-05-04 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,842.5087280273438,346,291.50801989746094,291.50801989746094,26.0,57.0,38.4,25.420000076293945,33064.13928222656,32481.12324243164,0.033811971574438826,0.1018699181278879,1.0,空單止損: +3.4%
2022-05-05 00:00:00-04:00,BUY_SHORT,SQQQ,966.69775390625,368,355.7447734375,355.7447734375,26.0,57.0,38.4,31.200000762939453,,,,,,
2022-05-10 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1081.6129150390625,368,398.033552734375,398.033552734375,26.0,57.0,38.4,32.9900016784668,-42288.779296875,-43084.84640234375,-0.03910552239538748,-0.11887393000393474,3.0,空單反彈: +1.2% (VIX=33.0)
2022-05-11 00:00:00-04:00,BUY_SHORT,SQQQ,1177.980224609375,267,314.5207199707031,314.5207199707031,26.0,57.0,38.4,32.560001373291016,,,,,,
2022-05-13 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1057.218505859375,267,282.27734106445314,282.27734106445314,26.0,57.0,38.4,28.8700008392334,32243.37890625,31678.824224121094,0.03460810246340497,0.10251591344841572,2.0,空單止損: +3.5%
2022-05-16 00:00:00-04:00,BUY_SHORT,SQQQ,1089.677001953125,316,344.3379326171875,344.3379326171875,26.0,57.0,38.4,27.469999313354492,,,,,,
2022-05-17 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1007.0188598632812,316,318.2179597167969,318.2179597167969,26.0,57.0,38.4,26.100000381469727,26119.972900390625,25483.536980957033,0.0259014270245895,0.07585563606618127,1.0,空單止損: +2.6%
2022-05-18 00:00:00-04:00,BUY_SHORT,SQQQ,1153.3843994140625,320,369.0830078125,369.0830078125,26.0,57.0,38.4,30.959999084472656,,,,,,
2022-05-26 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1051.57373046875,320,336.50359375,336.50359375,26.0,57.0,38.4,27.5,32579.4140625,31906.406875,0.028130365590047744,0.08827123810330184,3.0,空單止損: +2.8%
2022-06-10 00:00:00-04:00,BUY_SHORT,SQQQ,1139.4737548828125,350,398.81581420898436,398.81581420898436,26.0,57.0,38.4,27.75,,,,,,
2022-06-15 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1192.8988037109375,350,417.51458129882815,417.51458129882815,26.0,57.0,38.4,29.6200008392334,-18698.76708984375,-19533.796252441407,-0.02091107874879183,-0.04688572123683482,3.0,空單反彈: +2.7% (VIX=29.6)
2022-06-16 00:00:00-04:00,BUY_SHORT,SQQQ,1332.4097900390625,286,381.06919995117187,381.06919995117187,26.0,57.0,38.4,32.95000076293945,,,,,,
2022-06-17 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1289.4677734375,286,368.787783203125,368.787783203125,26.0,63.0,40.800000000000004,31.1299991607666,12281.416748046875,11543.841181640624,0.012159783856817596,0.03222883599519601,1.0,空單反彈: +1.2% (VIX=31.1)
2022-06-21 00:00:00-04:00,BUY_SHORT,SQQQ,1193.100341796875,328,391.336912109375,391.336912109375,26.0,57.0,38.4,30.190000534057617,,,,,,
2022-06-24 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1028.3887939453125,328,337.3115244140625,337.3115244140625,34.0,57.0,43.2,27.229999542236328,54025.3876953125,53350.76464648438,0.04813594688959222,0.13805339088537835,3.0,空單止損: +4.8%
2022-06-27 00:00:00-04:00,BUY_SHORT,SQQQ,1048.3477783203125,422,442.4027624511719,442.4027624511719,26.0,57.0,38.4,26.950000762939453,,,,,,
2022-07-05 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1101.97509765625,422,465.0334912109375,465.0334912109375,34.0,57.0,43.2,27.540000915527344,-22630.728759765625,-23560.7957421875,-0.01877240137626536,-0.05115413076170243,2.0,空單反彈: +2.4% (VIX=27.5)
2022-09-13 00:00:00-04:00,BUY_SHORT,SQQQ,946.7388305664062,444,420.3520407714844,420.3520407714844,26.0,57.0,38.4,27.270000457763672,,,,,,
2022-09-28 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1082.2176513671875,444,480.50463720703124,480.50463720703124,26.0,57.0,38.4,30.18000030517578,-60152.596435546875,-61113.60570996094,-0.04513768903226012,-0.14310052194619313,2.0,空單反彈: +2.0% (VIX=30.2)
2022-10-03 00:00:00-04:00,BUY_SHORT,SQQQ,1148.545654296875,315,361.7918811035156,361.7918811035156,26.0,57.0,38.4,30.100000381469727,,,,,,
2022-10-04 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1041.4932861328125,315,328.07038513183596,328.07038513183596,26.0,57.0,38.4,29.06999969482422,33721.49597167969,33065.355201416016,0.031440684042693505,0.09320688974231381,1.0,空單止損: +3.1%
2022-10-05 00:00:00-04:00,BUY_SHORT,SQQQ,1040.4852294921875,378,393.30341674804686,393.30341674804686,26.0,57.0,38.4,28.549999237060547,,,,,,
2022-10-13 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1191.6895751953125,378,450.4586594238281,450.4586594238281,26.0,57.0,38.4,31.940000534057617,-57155.24267578125,-58056.159994628906,-0.046669467299879586,-0.145320991992285,3.0,空單反彈: +2.3% (VIX=31.9)
2022-10-14 00:00:00-04:00,BUY_SHORT,SQQQ,1297.935302734375,260,337.4631787109375,337.4631787109375,26.0,57.0,38.4,32.02000045776367,,,,,,
2022-10-17 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,1169.3111572265625,260,304.0209008789063,304.0209008789063,26.0,57.0,38.4,31.3700008392334,33442.27783203125,32834.23603027344,0.03302150084163261,0.09909904233041397,1.0,空單止損: +3.3%
2022-10-18 00:00:00-04:00,BUY_SHORT,SQQQ,1140.8846435546875,324,369.64662451171876,369.64662451171876,26.0,57.0,38.4,30.5,,,,,,
2022-10-21 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,1090.281982421875,324,353.2513623046875,353.2513623046875,38.0,57.0,45.6,29.690000534057617,16395.26220703125,15688.759482421876,0.014513251486798821,0.04435388048974725,3.0,空單反彈: +2.3% (VIX=29.7)
2022-11-02 00:00:00-04:00,BUY_SHORT,SQQQ,1190.27783203125,323,384.45973974609376,384.45973974609376,26.0,57.0,38.4,25.860000610351562,,,,,,
2022-11-07 00:00:00-05:00,SELL_SHORT_TRAILING,SQQQ,1162.4566650390625,323,375.4735028076172,375.4735028076172,30.0,57.0,40.8,24.350000381469727,8986.236938476562,8235.289932861328,0.007189175968212,0.02337367482070108,3.0,空單反彈: +2.7% (VIX=24.4)
2022-11-09 00:00:00-05:00,BUY_SHORT,SQQQ,1217.091552734375,322,391.9034799804688,391.9034799804688,26.0,57.0,38.4,26.09000015258789,,,,,,
2022-11-10 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,949.158203125,322,305.62894140625,305.62894140625,54.0,57.0,55.2,23.530000686645508,86274.53857421875,85663.28069140625,0.07378869884077253,0.220142313047382,1.0,空單止損: +7.4%
2022-12-19 00:00:00-05:00,BUY_SHORT,SQQQ,1054.5977783203125,449,473.5144024658203,473.5144024658203,26.0,57.0,38.4,22.420000076293945,,,,,,
2022-12-22 00:00:00-05:00,SELL_SHORT_REEVAL,SQQQ,1086.891845703125,449,488.01443872070314,488.01443872070314,26.0,63.0,40.800000000000004,21.969999313354492,-14500.036254882812,-15476.065132324218,-0.01108423436918726,-0.030622165195766073,3.0,空單重估賣出
2022-12-27 00:00:00-05:00,BUY_SHORT,SQQQ,1128.5474853515625,406,458.1902790527344,458.1902790527344,26.0,57.0,38.4,21.649999618530273,,,,,,
2022-12-29 00:00:00-05:00,SELL_SHORT_TRAILING,SQQQ,1089.1158447265625,406,442.18103295898436,442.18103295898436,26.0,57.0,38.4,21.440000534057617,16009.24609375,15124.884027832031,0.01085074018636573,0.03494016967546239,2.0,空單反彈: +2.4% (VIX=21.4)
2022-12-30 00:00:00-05:00,BUY_SHORT,SQQQ,1092.149169921875,433,472.9005905761719,472.9005905761719,26.0,57.0,38.4,21.670000076293945,,,,,,
2023-01-05 00:00:00-05:00,SELL_SHORT_REEVAL,SQQQ,1151.1951904296875,433,498.4675174560547,498.4675174560547,26.0,63.0,40.800000000000004,22.459999084472656,-25566.926879882812,-26563.86191479492,-0.017650652086526185,-0.054064062065840565,3.0,空單重估賣出
2023-01-06 00:00:00-05:00,BUY_SHORT,SQQQ,1059.593017578125,423,448.2078464355469,448.2078464355469,26.0,57.0,38.4,21.1299991607666,,,,,,
2023-01-11 00:00:00-05:00,SELL_SHORT_STOP,SQQQ,959.7001342773438,423,405.9531567993164,405.9531567993164,46.0,57.0,50.4,21.09000015258789,42254.68963623047,41442.78332263183,0.0325521637986443,0.09427476554073841,3.0,空單止損: +3.3%
