date,action,symbol,price,shares,position_size,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-08-06 00:00:00-04:00,BUY_SHORT,SQQQ,18309.3203125,3,0.7,54.9279609375,54.9279609375,26.0,57.0,38.4,20.170000076293945,,,,,,
2019-08-08 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16861.880859375,3,,50.585642578125004,50.585642578125004,54.0,57.0,55.2,16.90999984741211,4342.318359375,4241.14707421875,0.02728344838661512,0.07905478895012914,2.0,空單止損: +2.7%
2019-08-09 00:00:00-04:00,BUY_SHORT,SQQQ,17339.388671875,5,0.95,86.696943359375,86.696943359375,26.0,57.0,38.4,17.969999313354492,,,,,,
2019-08-13 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16752.453125,5,,83.762265625,83.762265625,54.0,57.0,55.2,17.520000457763672,2934.677734375,2767.153203125,0.010187854119709672,0.033849840843987004,2.0,空單反彈: +2.2%
2019-08-14 00:00:00-04:00,BUY_SHORT,SQQQ,18269.52734375,4,0.7,73.078109375,73.078109375,26.0,57.0,38.4,22.100000381469727,,,,,,
2019-08-16 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,17463.736328125,4,,69.8549453125,69.8549453125,26.0,57.0,38.4,18.469999313354492,3223.1640625,3083.454171875,0.0148830887254835,0.044105739599260126,2.0,空單反彈: +1.6%
2019-08-19 00:00:00-04:00,BUY_SHORT,SQQQ,16677.84375,6,0.95,100.0670625,100.0670625,26.0,57.0,38.4,16.8799991607666,,,,,,
2019-08-22 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,16737.533203125,6,,100.42519921875,100.42519921875,34.0,57.0,43.2,16.68000030517578,-358.13671875,-558.9871171875,-0.0021762213621554336,-0.0035789670427269714,3.0,空單重估賣出
2019-08-23 00:00:00-04:00,BUY_SHORT,SQQQ,18269.52734375,5,0.95,91.34763671875,91.34763671875,26.0,57.0,38.4,19.8700008392334,,,,,,
2019-08-26 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,17518.453125,5,,87.592265625,87.592265625,26.0,57.0,38.4,19.31999969482422,3755.37109375,3580.1865625,0.015104186769982209,0.04111076354730886,1.0,空單止損: +1.5%
2019-08-27 00:00:00-04:00,BUY_SHORT,SQQQ,17612.9609375,4,0.7,70.45184375,70.45184375,26.0,57.0,38.4,20.309999465942383,,,,,,
2019-08-29 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16643.02734375,4,,66.572109375,66.572109375,38.0,57.0,45.6,17.8799991607666,3879.734375,3746.59015625,0.018923259434538483,0.05506930931101431,2.0,空單止損: +1.9%
2019-09-05 00:00:00-04:00,BUY_LONG,TQQQ,7.707491874694824,14790,0.95,113.99380482673645,113.99380482673645,74.0,57.0,67.2,16.270000457763672,,,,,,
2019-09-24 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.276645183563232,14790,,107.62158226490021,107.62158226490021,38.0,57.0,45.6,17.049999237060547,-6372.222561836243,-6587.465726366043,-0.017889780856692565,-0.055899726932719086,6.0,多單回落: -2.5%
2019-09-25 00:00:00-04:00,BUY_LONG,TQQQ,7.509373664855957,14347,0.95,107.73698396968842,107.73698396968842,74.0,57.0,67.2,15.960000038146973,,,,,,
