Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_50,MA_200,Vol_20,Regime,Cumulative,Peak,Drawdown,Month,Year,DayOfWeek,Quarter,Overnight_Return,Intraday_Return
2016-08-19,2.465698480606079,2.4815848731949055,2.434919234106933,2.455571294496985,73617600,-0.001367413251191385,-0.0013683490138379241,2.154858467578888,2.033780689239502,0.1854546275145141,Bull,11.966201366446212,12.277479830429742,-0.02535361232783511,8,2016,4,3,-0.005469025082547652,0.00412416700414675
2016-08-22,2.4680824279785156,2.4839685997526164,2.441274825579125,2.453983353947549,73243200,0.0009668446451127632,0.00096637755187569,2.1642828154563905,2.0337141716480254,0.1854320450939165,Bull,11.977770824159702,12.277479830429742,-0.024411280687035748,8,2016,0,3,-0.0047512405716575445,0.005745382913167063
2016-08-23,2.482776641845703,2.5123635090945453,2.480989317363871,2.498066049491942,62654400,0.005953696562404742,0.005936043344308437,2.1750256991386414,2.0338303375244142,0.18541691003484728,Bull,12.049082837140773,12.277479830429742,-0.01860292148254133,8,2016,1,3,0.01214854948664934,-0.006120497754392273
2016-08-24,2.4349193572998047,2.4899250882606827,2.4116861858737035,2.4792020511024218,71198400,-0.019275710806720525,-0.01946390969032028,2.1847915720939635,2.0336665117740633,0.19543942658884425,Bull,11.816828200885828,12.277479830429742,-0.037520047754604234,8,2016,2,3,-0.0014397552655497359,-0.01786167197745181
2016-08-25,2.423403024673462,2.4456431184554392,2.407318464174468,2.415658556155325,58444800,-0.004729656689375417,-0.004740876908076019,2.19467661857605,2.0338422524929047,0.19480618579698541,Bull,11.760938660338308,12.277479830429742,-0.04207224749913144,8,2016,3,3,-0.007910241908725468,0.003205945020004375
2016-08-26,2.4351181983947754,2.481385465525811,2.3908355087792867,2.426579038343911,107313600,0.0048341830071338965,0.004822535865653712,2.204517951011658,2.0341609597206114,0.19437310106705255,Bull,11.81779319015806,12.277479830429742,-0.03744144943592974,8,2016,4,3,0.0013105594233038254,0.003519011709872899
2016-08-29,2.4418702125549316,2.4637135241578725,2.435118829446195,2.4365086930933404,49833600,0.0027727664984011913,0.002768929472521937,2.215824782848358,2.0345660531520844,0.18760417986767522,Bull,11.850561171200765,12.277479830429742,-0.034772499334176026,8,2016,0,3,0.0005710173327444501,0.0022004926462151353
2016-08-30,2.419828176498413,2.4533869281727947,2.3952053659462407,2.4329341628775407,65750400,-0.009026702542661358,-0.009067690063267598,2.226015617847443,2.035203478336334,0.1701245937082146,Bull,11.743589680544723,12.277479830429742,-0.04348532086868287,8,2016,1,3,-0.0036595104979151305,-0.005386905481908566
2016-08-31,2.413473606109619,2.420225670762317,2.381900340944459,2.409303560795369,71616000,-0.0026260419853401107,-0.0026294960819882194,2.235698094367981,2.036483286619186,0.16850975674635207,Bull,11.712750520985006,12.277479830429742,-0.0459971685756758,8,2016,2,3,-0.004349323561590124,0.0017308094264691931
2016-09-01,2.424196481704712,2.438891175003062,2.3793188433759687,2.415062378702471,85953600,0.004442922254441983,0.0044330816120689755,2.2458452343940736,2.0373669385910036,0.16657835164433885,Bull,11.764789360935417,12.277479830429742,-0.041758608165140015,9,2016,3,3,0.0006582929222138656,0.0037821395765140764
2016-09-02,2.4525928497314453,2.4819815553644684,2.4267785659019827,2.4672877706739986,90739200,0.011713723801283882,0.011645649227436649,2.254943926334381,2.038353852033615,0.13722079309637977,Bull,11.902598854089698,12.277479830429742,-0.030534033166228602,9,2016,4,3,0.01777549356848529,-0.005955900692742877
2016-09-06,2.4980661869049072,2.5000525828559668,2.4504083643587,2.4672878440586006,65985600,0.018540923813930688,0.018371136352650374,2.26984493970871,2.0389217710494996,0.1508346322881502,Bull,12.123284032631153,12.277479830429742,-0.012559238534965059,9,2016,1,3,0.005991615905087677,0.012474565106143976
2016-09-07,2.502633571624756,2.516732868959881,2.4760243663386725,2.505810532389791,58075200,0.001828368176868711,0.0018266987463529617,2.286878662109375,2.039494653940201,0.14959753856811764,Bull,12.145449859355557,12.277479830429742,-0.010753833270159345,9,2016,2,3,0.0031001362275668853,-0.0012678375814810794
2016-09-08,2.4597413539886475,2.48357014764034,2.4406782281671395,2.4821805115342137,70065600,-0.017138832517243796,-0.017287402295873056,2.3009853839874266,2.039615784883499,0.1603822402988973,Bull,11.93729102836948,12.277479830429742,-0.027708357640067537,9,2016,3,3,-0.008172614769673903,-0.00904009899412872
2016-09-09,2.273280143737793,2.4146648943001803,2.273280143737793,2.3997718115379434,160915200,-0.0758052101488208,-0.07883241803083026,2.3095399713516236,2.038902904987335,0.3101063171797304,Bull,11.032382173356298,12.277479830429742,-0.10141312991510429,9,2016,4,3,-0.024380426158815083,-0.052709873160434184
2016-09-12,2.3898439407348633,2.405531038032349,2.234955727776239,2.2391260004476305,130651200,0.051275597210563184,0.05000428131708359,2.3190834617614744,2.038810566663742,0.3664162123786673,Bull,11.598074157950313,12.277479830429742,-0.05533755150593057,9,2016,0,3,-0.01502416821976249,0.06731105809012194
2016-09-13,2.3334484100341797,2.3805106123940543,2.2973076365095837,2.3578732871896713,125308800,-0.02359799723296674,-0.023880889290678164,2.3269748091697693,2.038409444093704,0.3707751672018918,Bull,11.324382836063258,12.277479830429742,-0.07762969335158125,9,2016,1,3,-0.013377716009088547,-0.01035885909908385
2016-09-14,2.363433361053467,2.4027511022308725,2.337023219686109,2.3394061681818252,111528000,0.0128500595472123,0.012768198069415062,2.336152927875519,2.038114564418793,0.37169103582990093,Bull,11.4699018298421,12.277479830429742,-0.06577717998656862,9,2016,2,3,0.0025531990002547467,0.010270637565393592
2016-09-15,2.473045825958252,2.4847619483645715,2.365021659339209,2.367007146216857,131860800,0.04637848763204677,0.04533514305385646,2.346625747680664,2.0384441947937013,0.40871525537614245,Bull,12.001858529998222,12.277479830429742,-0.02244933848299983,9,2016,3,3,0.0015121158998099293,0.044798631009997036
2016-09-16,2.470266103744507,2.4786061932317227,2.434522798156326,2.4668900718801448,81523200,-0.0011240075636964608,-0.0011246397339519144,2.3566736125946046,2.0384024930000306,0.4087474416566003,Bull,11.988368350232088,12.277479830429742,-0.02354811282044147,9,2016,4,3,-0.0024891387023618927,0.001368537618617438
2016-09-19,2.437898635864258,2.5125633657044864,2.4247926472554453,2.4891308888800223,91670400,-0.013102826384244759,-0.013189425709629008,2.364255180358887,2.038424335718155,0.4115121899163738,Bull,11.831286841108623,12.277479830429742,-0.03634239237072331,9,2016,0,3,0.0076367420930560925,-0.020582386102972805
